X,Y,Coded_ID,Tract_name,Name,Name_other,Includes,SiteStatus,Country,State_Prov,Latitude,Longitude,Type,Subtype,Age_Ma,Comm_major,Tonnage_Mt,Cu_pct,Ag_g_t,Con_Cu_t,Group_name,Includes2,SiteStat2,SiteStat3,Agehost,Unit,HostRocks,Co_pct,Comments,Mineralogy,Ref_short,Report
67.671933154,50.629901038,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,50.629901,67.671933,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kiymin Suite,,-9999,,,"Syusyura and others, 2010",Teniz
67.582332043,50.496525012,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Qostanay,50.496525,67.582332,Sediment-hosted stratabound copper,Sandstone copper,340,Cu,-9999,-9999,-9999,-9999,,,,,Lower Carboniferous,Lower Carboniferous rocks,,-9999,,,"Syusyura and others, 2010",Teniz
67.087437174,50.734403048,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,50.734403,67.087437,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kiymin Suite,,-9999,,,"Syusyura and others, 2010",Teniz
67.131020889,50.758932971,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,50.758933,67.131021,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kiymin Suite,,-9999,,,"Syusyura and others, 2010",Teniz
67.08573391,50.771288,142ssCu8050,Teniz Basin,Ushkarasu,,,prospect,Kazakhstan,Aqmola,50.771288,67.085734,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kiymin Suite,,-9999,,,"Syusyura and others, 2010",Teniz
67.583181989,51.196718996,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.196719,67.583182,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kiymin Suite,,-9999,,,"Syusyura and others, 2010",Teniz
67.445931978,51.155001026,142ssCu8050,Teniz Basin,Kayuk-Kalkan,,,prospect,Kazakhstan,Aqmola,51.155001,67.445932,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kiymin Suite,,-9999,,,"Syusyura and others, 2010",Teniz
67.308338116,51.085978029,142ssCu8050,Teniz Basin,Orta-Kara,,,prospect,Kazakhstan,Aqmola,51.085978,67.308338,Sediment-hosted stratabound copper,Sandstone copper,252,Cu,-9999,-9999,-9999,-9999,,,,,Upper Permian,Shoptykul Suite,,-9999,,,"Syusyura and others, 2010",Teniz
67.417687054,50.948409964,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,50.94841,67.417687,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kiymin Suite,,-9999,,,"Syusyura and others, 2010",Teniz
68.295465056,52.005385986,142ssCu8050,Teniz Basin,Proletarskoe,,,prospect,Kazakhstan,Aqmola,52.005386,68.295465,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,significant prospect,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Syusyura and others, 2010",Teniz
