tenement,geometry_type,wkt_geometry,longitude,latitude,layer_source,collarid,holeid_drill,maxdepth_drill,anumber,holetype,report_year_wamex,project_wamex,operator_wamex,target_commodity_wamex,abstract_wamex,dpxe_rep_wamex,ag_ppm,al_ppm,as_ppm,au_ppm,b_ppm,ba_ppm,be_ppm,bi_ppm,br_ppm,c_ppm,ca_ppm,cd_ppm,ce_ppm,cl_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,dy_ppm,er_ppm,eu_ppm,f_ppm,fe_ppm,ga_ppm,gd_ppm,ge_ppm,hf_ppm,hg_ppm,ho_ppm,i_ppm,in_ppm,ir_ppm,k_ppm,la_ppm,li_ppm,lu_ppm,mg_ppm,mn_ppm,mo_ppm,na_ppm,nb_ppm,nd_ppm,ni_ppm,os_ppm,p_ppm,pb_ppm,pd_ppm,pr_ppm,pt_ppm,rb_ppm,re_ppm,rh_ppm,ru_ppm,s_ppm,sb_ppm,sc_ppm,se_ppm,si_ppm,sm_ppm,sn_ppm,sr_ppm,ta_ppm,tb_ppm,te_ppm,th_ppm,ti_ppm,tl_ppm,tm_ppm,u_ppm,v_ppm,w_ppm,y_ppm,yb_ppm,zn_ppm,zr_ppm,layer_source.1,sample_type,selected_element
E20-TENEMENT_A,Point,POINT(117.89660453796387 -27.360500272113),117.89660453796388,-27.360500272113,geochem-drillhole,3095481,MBAC0224,37.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.090000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.88849353790283 -27.364244959315712),117.88849353790285,-27.364244959315712,geochem-drillhole,3095450,MBAC0193,73.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.039999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.8845077753067 -27.3643450064732),117.8845077753067,-27.3643450064732,geochem-drillhole,3095506,MBAC0249,39.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.89582669734955 -27.36053362230355),117.89582669734956,-27.36053362230355,geochem-drillhole,3095478,MBAC0221,55.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.029999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.88445949554443 -27.364244959315712),117.88445949554443,-27.364244959315712,geochem-drillhole,3095460,MBAC0203,74.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.079999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.89318203926086 -27.361515066270485),117.89318203926086,-27.361515066270485,geochem-drillhole,3095511,MBAC0254,71.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.89349317550659 -27.361434073651097),117.8934931755066,-27.361434073651097,geochem-drillhole,3095512,MBAC0255,65.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.27000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.89526879787445 -27.363506513213856),117.89526879787444,-27.363506513213856,geochem-drillhole,3095501,MBAC0244,68.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.8860741853714 -27.364159204537323),117.8860741853714,-27.364159204537323,geochem-drillhole,3095456,MBAC0199,67.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.90175437927246 -27.363759014693187),117.90175437927246,-27.363759014693187,geochem-drillhole,2282586,CUEB 2,50.0,49533,RAB,1996,North Coe ,MT CALLAN MINING NL,GOLD,"M7603/2: North Coe gold exploration: (Annual Report) (1/9/1995-1/9/1996)  Work completed on the North Coe/Ram Well project, E20/157, P20/1508-1526, M20/283-284 during 1995 to 1996 included RAB drilling. RAB holes were sited along paleochannels, mafic",https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=49533,,,,0.029999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.88485646247864 -27.364244959315712),117.88485646247864,-27.364244959315712,geochem-drillhole,3095459,MBAC0202,76.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.029999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.89232909679413 -27.3628299969779),117.89232909679411,-27.3628299969779,geochem-drillhole,1147684,MBAC0257,53.0,92178,AC,2011,Tiara - Austin,Westridge Gold Resources,GOLD,Annual Report - Tiara - Austin (01/11/2010 - 31/10/2011),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=92178,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.89316058158875 -27.36395434563117),117.89316058158876,-27.36395434563117,geochem-drillhole,3095525,MBAC0268,37.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.0099999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.893026471138 -27.36275376953723),117.893026471138,-27.36275376953723,geochem-drillhole,3095517,MBAC0260,41.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.039999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.88437902927399 -27.36456892121233),117.884379029274,-27.36456892121233,geochem-drillhole,1147674,MBAC0247,32.0,92178,AC,2011,Tiara - Austin,Westridge Gold Resources,GOLD,Annual Report - Tiara - Austin (01/11/2010 - 31/10/2011),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=92178,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.88428783416748 -27.36448793082706),117.88428783416748,-27.36448793082706,geochem-drillhole,3095505,MBAC0248,28.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.54000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.89387941360474 -27.36395910979609),117.89387941360474,-27.36395910979609,geochem-drillhole,1147699,MBAC0272,37.0,92178,AC,2011,Tiara - Austin,Westridge Gold Resources,GOLD,Annual Report - Tiara - Austin (01/11/2010 - 31/10/2011),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=92178,,,,0.33000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.89349317550659 -27.361434073651097),117.8934931755066,-27.361434073651097,geochem-drillhole,1147682,MBAC0255,65.0,92178,AC,2011,Tiara - Austin,Westridge Gold Resources,GOLD,Annual Report - Tiara - Austin (01/11/2010 - 31/10/2011),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=92178,,,,0.27000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.8935307264328 -27.363906703970756),117.8935307264328,-27.36390670397076,geochem-drillhole,3095527,MBAC0270,27.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.89397060871124 -27.360300170758784),117.89397060871124,-27.360300170758784,geochem-drillhole,3095473,MBAC0216,84.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.88382112979889 -27.357713113547817),117.88382112979887,-27.357713113547817,geochem-drillhole,3095592,MBRB0020,45.0,99817,RAB,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.88297355175018 -27.357717877981287),117.88297355175018,-27.357717877981287,geochem-drillhole,3095432,MBAC0175,84.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.89610028266907 -27.36051932936597),117.89610028266908,-27.36051932936597,geochem-drillhole,3095479,MBAC0222,41.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
E20-TENEMENT_A,Point,POINT(117.8856611251831 -27.364192553625692),117.8856611251831,-27.36419255362569,geochem-drillhole,3095457,MBAC0200,68.0,99817,AC,2013,Tiara - Austin,REDGUM BELL GOLD OPERATIONS PTY LTD,GOLD,Final Surrender Report - Tiara - Austin (16/02/2006 - 10/10/2013),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=99817,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-drillhole,drillhole,au_ppm
