Coded_ID,Tract_name,Name,Name_other,Includes,SiteStatus,Country,State_Prov,Latitude,Longitude,Type,Subtype,Age_Ma,Comm_major,Tonnage_Mt,Cu_pct,Ag_g_t,Con_Cu_t,Group_name,Includes2,SiteStat2,SiteStat3,Agehost,Unit,HostRocks,Co_pct,Comments,Mineralogy,Ref_short,Report
142ssCu8050,Teniz Basin,Drill-hole N-11,,,prospect,Kazakhstan,Aqmola,52.08,68.37,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Lozovskoe,,,prospect,Kazakhstan,Aqmola,51.32,69.85,Sediment-hosted stratabound copper,Sandstone copper,340,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Carboniferous,Lower Carboniferous rocks,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Kokpekty-I,,,prospect,Kazakhstan,Aqmola,51.62,68.1,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Permian,Kayraktin Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Area No 8,,,prospect,Kazakhstan,Aqmola,51.63,66.55,Sediment-hosted stratabound copper,Sandstone copper,238,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Carboniferous,Kirey Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Drill-hole 138,,,prospect,Kazakhstan,Aqmola,51.1,67.83,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Permian,Kayraktin Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Drill-hole P-265,,,prospect,Kazakhstan,Aqmola,51.9,68.63,Sediment-hosted stratabound copper,Sandstone copper,340,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Carboniferous,Lower Carboniferous rocks,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Poltavskoe,,,prospect,Kazakhstan,Aqmola,52.15,68.65,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Drill-hole N-10,,,prospect,Kazakhstan,Aqmola,52.03,68.22,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Drill-hole X-124,,,prospect,Kazakhstan,Aqmola,52.02,68.3,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Drill-hole N-16,,,prospect,Kazakhstan,Aqmola,52.02,68.3,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Proletarskoe IV-IX,,,prospect,Kazakhstan,Aqmola,51.97,68.35,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Drill-hole ╒-103,,,prospect,Kazakhstan,Aqmola,51.95,68.25,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Spasskoe,,,prospect,Kazakhstan,Aqmola,51.98,68.57,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Permian,Kayraktin Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Achily-I,,,prospect,Kazakhstan,Aqmola,52.03,69.08,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Upper Carboniferous,Vladimirov Suite,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Kokdombak,,,prospect,Kazakhstan,Karagandy,50.28,67.95,Sediment-hosted stratabound copper,Sandstone copper,340,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Lower Carboniferous,Lower Carboniferous rocks,,0.0,,,"Syusyura and others, 2010",Teniz
142ssCu8050,Teniz Basin,Prirechnoe,,,prospect,Kazakhstan,Aqmola,52.15,68.333,Sediment-hosted stratabound copper,Sandstone copper,-999,Cu,-9999.0,-9999.0,-9999.0,-9999.0,,,,,Undetermined,Undetermined,,0.0,,,"Syusyura and others, 2010",Teniz
